MA0006.1_Ahr::Arnt	MA0854.1_Alx1	MA0634.1_ALX3	MA0853.1_Alx4	MA0007.3_Ar	MA1463.1_ARGFX	MA0151.1_Arid3a	MA0601.1_Arid3b	MA0602.1_Arid5a	MA0004.1_Arnt	MA0259.1_ARNT::HIF1A	MA1464.1_ARNT2	MA0603.1_Arntl	MA0874.1_Arx	MA1100.2_ASCL1	MA1631.1_ASCL1(var.2)	MA0816.1_Ascl2	MA0604.1_Atf1	MA1632.1_ATF2	MA0605.2_ATF3	MA0833.2_ATF4	MA1466.1_ATF6	MA0834.1_ATF7	MA0461.2_Atoh1	MA1467.1_ATOH1(var.2)	MA1468.1_ATOH7	MA1633.1_BACH1	MA0591.1_Bach1::Mafk	MA1101.2_BACH2	MA1470.1_BACH2(var.2)	MA0877.2_BARHL1	MA0635.1_BARHL2	MA0875.1_BARX1	MA1471.1_BARX2	MA1634.1_BATF	MA0462.2_BATF::JUN	MA0835.2_BATF3	MA0463.2_BCL6	MA0731.1_BCL6B	MA0607.1_Bhlha15	MA1472.1_BHLHA15(var.2)	MA0818.1_BHLHE22	MA1635.1_BHLHE22(var.2)	MA0817.1_BHLHE23	MA0464.2_BHLHE40	MA0636.1_BHLHE41	MA0876.1_BSX	MA0878.2_CDX1	MA0465.2_CDX2	MA1473.1_CDX4
4	44	26	10	12	31	4	40	2	2	3	7	14	21	4	24	2	9	6	21	14	2	36	4	18	25	63	58	10	116	10	30	12	48	10	16	14	10	16	2	21	21	16	6	12	15	2	21	17	8
6	8	5	10	6	4	18	2	12	3	0	2	10	21	6	43	8	45	24	2	6	4	1	8	2	4	4	10	17	2	16	2	8	4	6	9	8	0	2	2	1	6	7	0	2	4	4	0	35	6
4	2	6	0	10	0	2	0	0	0	25	10	12	0	2	19	2	2	0	4	2	0	2	2	10	0	2	6	6	0	6	2	26	0	8	0	0	8	8	2	2	0	10	4	10	10	20	0	2	2
25	8	25	18	7	8	7	11	24	0	9	9	7	7	4	0	9	4	10	8	6	6	7	3	11	2	4	13	12	16	11	8	16	4	19	4	12	6	7	14	7	3	19	8	9	9	3	4	3	3
0	0	4	21	7	3	2	0	6	2	14	6	0	12	10	44	5	2	1	8	0	6	7	7	0	0	0	26	0	2	82	22	17	126	2	0	4	4	0	0	1	0	0	2	0	2	4	1	39	4
0	8	1	0	0	7	8	0	0	8	0	4	2	7	4	2	4	0	12	0	6	0	17	0	109	10	7	0	21	1	7	12	14	5	4	2	0	12	0	1	1	3	16	4	20	3	0	14	9	2
6	3	2	7	19	10	6	0	0	1	24	0	18	4	4	15	17	3	0	4	0	5	4	11	16	43	8	19	34	33	14	22	2	42	10	19	26	27	16	1	28	19	30	6	6	28	0	3	5	2
10	4	10	4	0	4	10	6	2	8	5	0	0	2	2	14	6	1	2	8	0	2	7	2	10	3	8	2	12	12	1	3	4	14	2	2	6	16	5	0	2	25	4	16	0	10	21	2	1	4
0	6	3	8	18	7	4	15	6	18	0	9	14	4	7	17	3	26	1	24	18	53	7	21	9	29	16	26	16	28	42	7	17	23	6	8	0	12	5	0	32	28	35	8	8	10	6	4	2	58
20	20	51	118	3	22	17	30	55	39	58	9	37	30	24	60	34	47	10	12	108	29	24	27	15	60	31	25	20	96	54	41	17	126	51	9	13	8	8	4	5	29	4	41	17	41	31	30	12	23
